onset	duration	sample	value
0.203125	0	104	65284
81.625	0	41792	65285
381.6191406	0	195389	65286
430.296875	0	220312	65281
434.5	0	222464	65282
439.5	0	225024	65283
444.5	0	227584	65284
471.90625	0	241616	65281
475.8808594	0	243651	65282
480.8828125	0	246212	65283
485.8828125	0	248772	65284
513.2636719	0	262791	65281
517.2480469	0	264831	65282
522.25	0	267392	65283
527.25	0	269952	65284
536.1289062	0	274498	65281
540.1777344	0	276571	65282
545.1796875	0	279132	65283
550.1796875	0	281692	65284
562.3984375	0	287948	65281
566.7539062	0	290178	65282
571.7558594	0	292739	65283
576.7558594	0	295299	65284
584.1132812	0	299066	65281
588.8632812	0	301498	65282
593.8652344	0	304059	65283
598.8652344	0	306619	65284
604.7246094	0	309619	65281
608.9472656	0	311781	65282
613.9492188	0	314342	65283
618.9492188	0	316902	65284
636.5664062	0	325922	65281
641.2246094	0	328307	65282
646.2265625	0	330868	65283
651.2265625	0	333428	65284
657.5195312	0	336650	65281
661.4902344	0	338683	65282
666.4902344	0	341243	65283
671.4902344	0	343803	65284
685.21875	0	350832	65281
689.1679688	0	352854	65282
694.1699219	0	355415	65283
699.1699219	0	357975	65284
709.7382812	0	363386	65281
713.9863281	0	365561	65282
718.9882812	0	368122	65283
723.9882812	0	370682	65284
731.2265625	0	374388	65281
736.0703125	0	376868	65282
741.0722656	0	379429	65283
746.0722656	0	381989	65284
752.6796875	0	385372	65281
756.9785156	0	387573	65282
761.9804688	0	390134	65283
766.9804688	0	392694	65284
780.1523438	0	399438	65281
784.1113281	0	401465	65282
789.1132812	0	404026	65283
794.1132812	0	406586	65284
808.5683594	0	413987	65281
812.9433594	0	416227	65282
817.9453125	0	418788	65283
822.9453125	0	421348	65284
830.1757812	0	425050	65281
834.421875	0	427224	65282
839.4238281	0	429785	65283
844.4238281	0	432345	65284
854.6582031	0	437585	65281
859.4433594	0	440035	65282
864.4433594	0	442595	65283
869.4433594	0	445155	65284
875.5351562	0	448274	65281
880.171875	0	450648	65282
885.1738281	0	453209	65283
890.1738281	0	455769	65284
895.9257812	0	458714	65281
900.0117188	0	460806	65282
905.0136719	0	463367	65283
910.0136719	0	465927	65284
918.2695312	0	470154	65281
922.5742188	0	472358	65282
927.5742188	0	474918	65283
932.5742188	0	477478	65284
937.0722656	0	479781	65281
941.1230469	0	481855	65282
946.1230469	0	484415	65283
951.1230469	0	486975	65284
966.5917969	0	494895	65281
970.5585938	0	496926	65282
975.5605469	0	499487	65283
980.5605469	0	502047	65284
999.765625	0	511880	65281
1004.621094	0	514366	65282
1009.623047	0	516927	65283
1014.623047	0	519487	65284
1019.220703	0	521841	65281
1023.509766	0	524037	65282
1028.509766	0	526597	65283
1033.509766	0	529157	65284
1057.568359	0	541475	65281
1061.529297	0	543503	65282
1066.53125	0	546064	65283
1071.53125	0	548624	65284
1089.484375	0	557816	65281
1093.958984	0	560107	65282
1098.960938	0	562668	65283
1103.960938	0	565228	65284
1108.382812	0	567492	65281
1112.390625	0	569544	65282
1117.390625	0	572104	65283
1122.390625	0	574664	65284
1129.451172	0	578279	65281
1133.757812	0	580484	65282
1138.757812	0	583044	65283
1143.757812	0	585604	65284
1160.060547	0	593951	65281
1164.207031	0	596074	65282
1169.208984	0	598635	65283
1174.208984	0	601195	65284
1183.365234	0	605883	65281
1187.796875	0	608152	65282
1192.798828	0	610713	65283
1197.798828	0	613273	65284
1207.765625	0	618376	65281
1212.005859	0	620547	65282
1217.007812	0	623108	65283
1222.005859	0	625667	65284
1227.283203	0	628369	65281
1231.916016	0	630741	65282
1236.916016	0	633301	65283
1241.916016	0	635861	65284
1275.767578	0	653193	65281
1280.164062	0	655444	65282
1285.166016	0	658005	65283
1290.166016	0	660565	65284
1303.085938	0	667180	65281
1307.705078	0	669545	65282
1312.707031	0	672106	65283
1317.707031	0	674666	65284
1336.111328	0	684089	65281
1340.65625	0	686416	65282
1345.65625	0	688976	65283
1350.65625	0	691536	65284
1364.001953	0	698369	65281
1368.794922	0	700823	65282
1373.794922	0	703383	65283
1378.794922	0	705943	65284
1392.123047	0	712767	65281
1396.480469	0	714998	65282
1401.482422	0	717559	65283
1406.482422	0	720119	65284
1433.951172	0	734183	65281
1438.287109	0	736403	65282
1443.287109	0	738963	65283
1448.287109	0	741523	65284
1459.019531	0	747018	65281
1463.640625	0	749384	65282
1468.640625	0	751944	65283
1473.640625	0	754504	65284
1489.101562	0	762420	65281
1493.939453	0	764897	65282
1498.939453	0	767457	65283
1503.939453	0	770017	65284
1509.318359	0	772771	65281
1514.041016	0	775189	65282
1519.042969	0	777750	65283
1524.042969	0	780310	65284
1536.382812	0	786628	65281
1540.693359	0	788835	65282
1545.695312	0	791396	65283
1550.695312	0	793956	65284
1555.240234	0	796283	65281
1559.568359	0	798499	65282
1564.570312	0	801060	65283
1569.570312	0	803620	65284
1573.751953	0	805761	65281
1578.5625	0	808224	65282
1583.5625	0	810784	65283
1588.5625	0	813344	65284
1606.591797	0	822575	65281
1611.011719	0	824838	65282
1616.013672	0	827399	65283
1621.013672	0	829959	65284
1625.226562	0	832116	65281
1629.998047	0	834559	65282
1634.998047	0	837119	65283
1639.998047	0	839679	65284
1666.337891	0	853165	65281
1671.044922	0	855575	65282
1676.046875	0	858136	65283
1681.046875	0	860696	65284
1685.03125	0	862736	65281
1689.113281	0	864826	65282
1694.115234	0	867387	65283
1699.115234	0	869947	65284
1704.646484	0	872779	65281
1708.662109	0	874835	65282
1713.664062	0	877396	65283
1718.664062	0	879956	65284
1723.408203	0	882385	65281
1728.058594	0	884766	65282
1733.058594	0	887326	65283
1738.058594	0	889886	65284
1746.007812	0	893956	65281
1750.328125	0	896168	65282
1755.330078	0	898729	65283
1760.330078	0	901289	65284
1768.945312	0	905700	65281
1773.722656	0	908146	65282
1778.724609	0	910707	65283
1783.724609	0	913267	65284
1803.886719	0	923590	65281
1807.847656	0	925618	65282
1812.849609	0	928179	65283
1817.849609	0	930739	65284
1835.753906	0	939906	65281
1839.888672	0	942023	65282
1844.890625	0	944584	65283
1849.890625	0	947144	65284
1867.669922	0	956247	65281
1871.798828	0	958361	65282
1876.798828	0	960921	65283
1881.798828	0	963481	65284
1889.433594	0	967390	65281
1894.201172	0	969831	65282
1899.201172	0	972391	65283
1904.201172	0	974951	65284
1921.947266	0	984037	65281
1926.123047	0	986175	65282
1931.125	0	988736	65283
1936.125	0	991296	65284
1947.544922	0	997143	65281
1952.248047	0	999551	65282
1957.25	0	1002112	65283
1962.25	0	1004672	65284
1966.677734	0	1006939	65281
1970.957031	0	1009130	65282
1975.957031	0	1011690	65283
1980.957031	0	1014250	65284
2000.869141	0	1024445	65281
2004.990234	0	1026555	65282
2009.992188	0	1029116	65283
2014.992188	0	1031676	65284
2035.601562	0	1042228	65281
2039.960938	0	1044460	65282
2044.962891	0	1047021	65283
2049.962891	0	1049581	65284
2062.494141	0	1055997	65281
2066.955078	0	1058281	65282
2071.955078	0	1060841	65283
2076.955078	0	1063401	65284
2158.974609	0	1105395	65281
2163.488281	0	1107706	65282
2168.488281	0	1110266	65283
2173.488281	0	1112826	65284
2178.296875	0	1115288	65281
2183.132812	0	1117764	65282
2188.134766	0	1120325	65283
2193.134766	0	1122885	65284
2206.708984	0	1129835	65281
2211.578125	0	1132328	65282
2216.578125	0	1134888	65283
2221.578125	0	1137448	65284
2242.302734	0	1148059	65281
2246.625	0	1150272	65282
2251.625	0	1152832	65283
2256.625	0	1155392	65284
2270.332031	0	1162410	65281
2274.291016	0	1164437	65282
2279.291016	0	1166997	65283
2284.291016	0	1169557	65284
2288.849609	0	1171891	65281
2293.041016	0	1174037	65282
2298.041016	0	1176597	65283
2303.041016	0	1179157	65284
2308.496094	0	1181950	65281
2313.089844	0	1184302	65282
2318.089844	0	1186862	65283
2323.089844	0	1189422	65284
2340.341797	0	1198255	65281
2344.248047	0	1200255	65282
2349.248047	0	1202815	65283
2354.248047	0	1205375	65284
2365.115234	0	1210939	65281
2369.949219	0	1213414	65282
2374.949219	0	1215974	65283
2379.949219	0	1218534	65284
2384.884766	0	1221061	65281
2389.324219	0	1223334	65282
2394.324219	0	1225894	65283
2399.324219	0	1228454	65284
2410.638672	0	1234247	65281
2414.65625	0	1236304	65282
2419.658203	0	1238865	65283
2424.65625	0	1241424	65284
2429.619141	0	1243965	65281
2434.398438	0	1246412	65282
2439.400391	0	1248973	65283
2444.400391	0	1251533	65284
2452.523438	0	1255692	65281
2457.365234	0	1258171	65282
2462.365234	0	1260731	65283
2467.365234	0	1263291	65284
2477.34375	0	1268400	65281
2482.113281	0	1270842	65282
2487.115234	0	1273403	65283
2492.113281	0	1275962	65284
2498.697266	0	1279333	65281
2503.148438	0	1281612	65282
2508.148438	0	1284172	65283
2513.148438	0	1286732	65284
2522.900391	0	1291725	65281
2526.904297	0	1293775	65282
2531.904297	0	1296335	65283
2536.904297	0	1298895	65284
2541.855469	0	1301430	65281
2546.195312	0	1303652	65282
2551.195312	0	1306212	65283
2556.195312	0	1308772	65284
2563.9375	0	1312736	65281
2568.271484	0	1314955	65282
2573.271484	0	1317515	65283
2578.271484	0	1320075	65284
2595.533203	0	1328913	65281
2600.054688	0	1331228	65282
2605.056641	0	1333789	65283
2610.056641	0	1336349	65284
2621.357422	0	1342135	65281
2626.248047	0	1344639	65282
2631.25	0	1347200	65283
2636.25	0	1349760	65284
2645.306641	0	1354397	65281
2649.623047	0	1356607	65282
2654.625	0	1359168	65283
2659.625	0	1361728	65284
2674.318359	0	1369251	65281
2678.226562	0	1371252	65282
2683.228516	0	1373813	65283
2688.228516	0	1376373	65284
2695.546875	0	1380120	65281
2700.248047	0	1382527	65282
2705.248047	0	1385087	65283
2710.248047	0	1387647	65284
2716.482422	0	1390839	65281
2720.900391	0	1393101	65282
2725.900391	0	1395661	65283
2730.900391	0	1398221	65284
2740.080078	0	1402921	65281
2744.316406	0	1405090	65282
2749.318359	0	1407651	65283
2754.316406	0	1410210	65284
2766.103516	0	1416245	65281
2770.960938	0	1418732	65282
2775.962891	0	1421293	65283
2780.962891	0	1423853	65284
2786.035156	0	1426450	65281
2790.009766	0	1428485	65282
2795.011719	0	1431046	65283
2800.011719	0	1433606	65284
2810.496094	0	1438974	65281
2814.931641	0	1441245	65282
2819.933594	0	1443806	65283
2824.933594	0	1446366	65284
2830.595703	0	1449265	65281
2834.501953	0	1451265	65282
2839.503906	0	1453826	65283
2844.503906	0	1456386	65284
2857.154297	0	1462863	65281
2861.917969	0	1465302	65282
2866.919922	0	1467863	65283
2871.919922	0	1470423	65284
3064.453125	0	1569000	65281
3068.607422	0	1571127	65282
3073.609375	0	1573688	65283
3078.609375	0	1576248	65284
3245.921875	0	1661912	65281
3250.730469	0	1664374	65282
3255.730469	0	1666934	65283
3260.730469	0	1669494	65284
3269.808594	0	1674142	65281
3274.451172	0	1676519	65282
3279.453125	0	1679080	65283
3284.453125	0	1681640	65284
3289.072266	0	1684005	65281
3293.208984	0	1686123	65282
3298.208984	0	1688683	65283
3303.208984	0	1691243	65284
3309.222656	0	1694322	65281
3313.457031	0	1696490	65282
3318.458984	0	1699051	65283
3323.458984	0	1701611	65284
3331.708984	0	1705835	65281
3335.638672	0	1707847	65282
3340.638672	0	1710407	65283
3345.638672	0	1712967	65284
3357.861328	0	1719225	65281
3362.693359	0	1721699	65282
3367.695312	0	1724260	65283
3372.695312	0	1726820	65284
3383.394531	0	1732298	65281
3387.859375	0	1734584	65282
3392.861328	0	1737145	65283
3397.859375	0	1739704	65284
3405.878906	0	1743810	65281
3409.859375	0	1745848	65282
3414.859375	0	1748408	65283
3419.859375	0	1750968	65284
3424.128906	0	1753154	65281
3428.482422	0	1755383	65282
3433.484375	0	1757944	65283
3438.484375	0	1760504	65284
3443.292969	0	1762966	65281
3447.294922	0	1765015	65282
3452.296875	0	1767576	65283
3457.296875	0	1770136	65284
3467.152344	0	1775182	65281
3471.59375	0	1777456	65282
3476.595703	0	1780017	65283
3481.595703	0	1782577	65284
3489.400391	0	1786573	65281
3493.509766	0	1788677	65282
3498.511719	0	1791238	65283
3503.511719	0	1793798	65284
3514.632812	0	1799492	65281
3519.363281	0	1801914	65282
3524.365234	0	1804475	65283
3529.365234	0	1807035	65284
3556.1875	0	1820768	65281
3560.105469	0	1822774	65282
3565.107422	0	1825335	65283
3570.107422	0	1827895	65284
3582.408203	0	1834193	65281
3587.015625	0	1836552	65282
3592.015625	0	1839112	65283
3597.015625	0	1841672	65284
3601.462891	0	1843949	65281
3606.238281	0	1846394	65282
3611.238281	0	1848954	65283
3616.238281	0	1851514	65284
3621.173828	0	1854041	65281
3626.015625	0	1856520	65282
3631.015625	0	1859080	65283
3636.015625	0	1861640	65284
3640.732422	0	1864055	65281
3645.119141	0	1866301	65282
3650.119141	0	1868861	65283
3655.119141	0	1871421	65284
3661.912109	0	1874899	65281
3665.888672	0	1876935	65282
3670.890625	0	1879496	65283
3675.890625	0	1882056	65284
3680.28125	0	1884304	65281
3684.451172	0	1886439	65282
3689.451172	0	1888999	65283
3694.451172	0	1891559	65284
3698.476562	0	1893620	65281
3702.492188	0	1895676	65282
3707.494141	0	1898237	65283
3712.494141	0	1900797	65284
3716.59375	0	1902896	65281
3721.179688	0	1905244	65282
3726.179688	0	1907804	65283
3731.179688	0	1910364	65284
3749.675781	0	1919834	65281
3753.701172	0	1921895	65282
3758.701172	0	1924455	65283
3763.701172	0	1927015	65284
3780.324219	0	1935526	65281
3784.318359	0	1937571	65282
3789.318359	0	1940131	65283
3794.318359	0	1942691	65284
3806.695312	0	1949028	65281
3811.197266	0	1951333	65282
3816.199219	0	1953894	65283
3821.199219	0	1956454	65284
3826.917969	0	1959382	65281
3831.441406	0	1961698	65282
3836.441406	0	1964258	65283
3841.441406	0	1966818	65284
3846.521484	0	1969419	65281
3850.996094	0	1971710	65282
3855.998047	0	1974271	65283
3860.998047	0	1976831	65284
3871.679688	0	1982300	65281
3876.529297	0	1984783	65282
3881.53125	0	1987344	65283
3886.53125	0	1989904	65284
3900.046875	0	1996824	65281
3904.792969	0	1999254	65282
3909.794922	0	2001815	65283
3914.794922	0	2004375	65284
4062.513672	0	2080007	65281
4066.601562	0	2082100	65282
4071.603516	0	2084661	65283
4076.603516	0	2087221	65284
4105.400391	0	2101965	65281
4109.650391	0	2104141	65282
4114.652344	0	2106702	65283
4119.652344	0	2109262	65284
4124.460938	0	2111724	65281
4128.621094	0	2113854	65282
4133.623047	0	2116415	65283
4138.623047	0	2118975	65284
4154.341797	0	2127023	65281
4158.585938	0	2129196	65282
4163.587891	0	2131757	65283
4168.587891	0	2134317	65284
4179.78125	0	2140048	65281
4184.371094	0	2142398	65282
4189.373047	0	2144959	65283
4194.373047	0	2147519	65284
4208.083984	0	2154539	65281
4212.335938	0	2156716	65282
4217.337891	0	2159277	65283
4222.337891	0	2161837	65284
4239.734375	0	2170744	65281
4243.919922	0	2172887	65282
4248.919922	0	2175447	65283
4253.919922	0	2178007	65284
4262.474609	0	2182387	65281
4267.279297	0	2184847	65282
4272.28125	0	2187408	65283
4277.28125	0	2189968	65284
4283.279297	0	2193039	65281
4287.507812	0	2195204	65282
4292.509766	0	2197765	65283
4297.509766	0	2200325	65284
4301.957031	0	2202602	65281
4306.236328	0	2204793	65282
4311.238281	0	2207354	65283
4316.238281	0	2209914	65284
4321.644531	0	2212682	65281
4326.105469	0	2214966	65282
4331.105469	0	2217526	65283
4336.105469	0	2220086	65284
4341.496094	0	2222846	65281
4345.730469	0	2225014	65282
4350.730469	0	2227574	65283
4355.730469	0	2230134	65284
4375.421875	0	2240216	65281
4380.097656	0	2242610	65282
4385.097656	0	2245170	65283
4390.097656	0	2247730	65284
4397.171875	0	2251352	65281
4401.935547	0	2253791	65282
4406.9375	0	2256352	65283
4411.9375	0	2258912	65284
4423.425781	0	2264794	65281
4428.199219	0	2267238	65282
4433.201172	0	2269799	65283
4438.201172	0	2272359	65284
4442.734375	0	2274680	65281
4447.255859	0	2276995	65282
4452.255859	0	2279555	65283
4457.255859	0	2282115	65284
4461.357422	0	2284215	65281
4465.394531	0	2286282	65282
4470.394531	0	2288842	65283
4475.394531	0	2291402	65284
4485.150391	0	2296397	65281
4489.699219	0	2298726	65282
4494.699219	0	2301286	65283
4499.699219	0	2303846	65284
4504.423828	0	2306265	65281
4509.253906	0	2308738	65282
4514.255859	0	2311299	65283
4519.255859	0	2313859	65284
4531.341797	0	2320047	65281
4535.767578	0	2322313	65282
4540.769531	0	2324874	65283
4545.767578	0	2327433	65284
4551.248047	0	2330239	65281
4555.724609	0	2332531	65282
4560.726562	0	2335092	65283
4565.726562	0	2337652	65284
4580.152344	0	2345038	65281
4584.730469	0	2347382	65282
4589.732422	0	2349943	65283
4594.732422	0	2352503	65284
4599.230469	0	2354806	65281
4603.515625	0	2357000	65282
4608.517578	0	2359561	65283
4613.517578	0	2362121	65284
4623.101562	0	2367028	65281
4627.988281	0	2369530	65282
4632.988281	0	2372090	65283
4637.988281	0	2374650	65284
4648.208984	0	2379883	65281
4652.875	0	2382272	65282
4657.876953	0	2384833	65283
4662.876953	0	2387393	65284
4670.189453	0	2391137	65281
4674.099609	0	2393139	65282
4679.099609	0	2395699	65283
4684.099609	0	2398259	65284
4688.775391	0	2400653	65281
4693.445312	0	2403044	65282
4698.445312	0	2405604	65283
4703.445312	0	2408164	65284
4707.769531	0	2410378	65281
4711.964844	0	2412526	65282
4716.966797	0	2415087	65283
4721.966797	0	2417647	65284
4731.238281	0	2422394	65281
4735.181641	0	2424413	65282
4740.181641	0	2426973	65283
4745.181641	0	2429533	65284
4749.701172	0	2431847	65281
4753.796875	0	2433944	65282
4758.798828	0	2436505	65283
4763.798828	0	2439065	65284
4800.205078	0	2457705	65281
4804.296875	0	2459800	65282
4809.298828	0	2462361	65283
4814.298828	0	2464921	65284
4821.283203	0	2468497	65281
4825.802734	0	2470811	65282
4830.804688	0	2473372	65283
4835.804688	0	2475932	65284
4841.800781	0	2479002	65281
4846.003906	0	2481154	65282
4851.005859	0	2483715	65283
4856.005859	0	2486275	65284
4861.447266	0	2489061	65281
4865.96875	0	2491376	65282
4870.970703	0	2493937	65283
4875.970703	0	2496497	65284
4881.904297	0	2499535	65281
4886.349609	0	2501811	65282
4891.351562	0	2504372	65283
4896.351562	0	2506932	65284
4904.634766	0	2511173	65281
4908.697266	0	2513253	65282
4913.699219	0	2515814	65283
4918.699219	0	2518374	65284
4923.097656	0	2520626	65281
4927.259766	0	2522757	65282
4932.261719	0	2525318	65283
4937.261719	0	2527878	65284
4941.167969	0	2529878	65281
4946.001953	0	2532353	65282
4951.003906	0	2534914	65283
4956.003906	0	2537474	65284
4960.654297	0	2539855	65281
4964.863281	0	2542010	65282
4969.865234	0	2544571	65283
4974.865234	0	2547131	65284
4979.398438	0	2549452	65281
4984.091797	0	2551855	65282
4989.09375	0	2554416	65283
4994.09375	0	2556976	65284
4999.058594	0	2559518	65281
5003.287109	0	2561683	65282
5008.287109	0	2564243	65283
5013.287109	0	2566803	65284
5018.339844	0	2569390	65281
5022.404297	0	2571471	65282
5027.404297	0	2574031	65283
5032.404297	0	2576591	65284
5037.742188	0	2579324	65281
5042.056641	0	2581533	65282
5047.056641	0	2584093	65283
5052.056641	0	2586653	65284
5057.246094	0	2589310	65281
5061.617188	0	2591548	65282
5066.619141	0	2594109	65283
5071.619141	0	2596669	65284
5088.884766	0	2605509	65281
5093.519531	0	2607882	65282
5098.521484	0	2610443	65283
5103.521484	0	2613003	65284
5125.978516	0	2624501	65281
5130.005859	0	2626563	65282
5135.007812	0	2629124	65283
5140.007812	0	2631684	65284
5144.65625	0	2634064	65281
5149.283203	0	2636433	65282
5154.285156	0	2638994	65283
5159.285156	0	2641554	65284
5167.802734	0	2645915	65281
5172.171875	0	2648152	65282
5177.171875	0	2650712	65283
5182.171875	0	2653272	65284
5186.789062	0	2655636	65281
5191.677734	0	2658139	65282
5196.679688	0	2660700	65283
5201.679688	0	2663260	65284
5209.753906	0	2667394	65281
5213.941406	0	2669538	65282
5218.943359	0	2672099	65283
5223.943359	0	2674659	65284
5228.083984	0	2676779	65281
5232.621094	0	2679102	65282
5237.623047	0	2681663	65283
5242.623047	0	2684223	65284
5254.666016	0	2690389	65281
5258.822266	0	2692517	65282
5263.824219	0	2695078	65283
5268.824219	0	2697638	65284
5278.755859	0	2702723	65281
5283.626953	0	2705217	65282
5288.628906	0	2707778	65283
5293.628906	0	2710338	65284
5306.353516	0	2716853	65281
5310.273438	0	2718860	65282
5315.273438	0	2721420	65283
5320.273438	0	2723980	65284
5327.744141	0	2727805	65281
5331.771484	0	2729867	65282
5336.773438	0	2732428	65283
5341.773438	0	2734988	65284
5351.880859	0	2740163	65281
5355.896484	0	2742219	65282
5360.898438	0	2744780	65283
5365.898438	0	2747340	65284
5372.941406	0	2750946	65281
5377.695312	0	2753380	65282
5382.697266	0	2755941	65283
5387.697266	0	2758501	65284
5404.011719	0	2766854	65281
5408.908203	0	2769361	65282
5413.910156	0	2771922	65283
5418.910156	0	2774482	65284
5426.115234	0	2778171	65281
5430.380859	0	2780355	65282
5435.382812	0	2782916	65283
5440.382812	0	2785476	65284
